,id,Author,Title,Jounral,Year,StudyName,exclude,SamplingStrategy,SampleSource,YearsStudied,TargetTest,SubfieldClassification,PowerEstimationTechnique,AmalgomationMethod,DistinguishedStatisticalTestsAppropriatly,NumberOfArticles,NumberOfTests,EffectSizeUsed,SmallEffectBenchmark,MediumEffectBenchmark,LargeEffectBenchmark,PowerAtSmallEffectMedian,FirstQuartilePowerAtSmall,ThirdQuartilePowerAtSmall,PowerAtMediumEffectMedian,FirstQuartilePowerAtMedium,ThirdQuartilePowerAtMedium,PowerAtLargeEffectMedian,FirstQuartilePowerAtLarge,ThirdQuartilePowerAtLarge,PowerAtSmallEffectMean,PowerAtMediumEffectMean,PowerAtLargeEffectMean,SDPowerAtSmall,SDPowerAtMedium,SDPowerAtLarge,SampleMedian,FirstQuartileSampleSize,ThirdQuartileSampleSize,SampleMean,SampleSizeSD,SDSmallAlgEstFromCDT,SDMedAlgEstFromCDT,SDLargeAlgEstFromCDT,Notes,Solutions,SampleMin,SampleMax,PowerSmallMin,PowerSmallMax,PowerMedMin,PowerMedMax,PowerLargeMin,PowerLargeMax
11,98,"Rothpearl, A. B., Mohs, R. C. and Davis, K. L.",Statistical power in biological psychiatry,Psychiatry Research,1981,"Rothpearl, Mohs & Davis (1981)",NA,Unclear,Selected studies examining cerebro-spinal fluid neurotransmitter metabolites in people with depression v. control group,1966-1980,two tailed t test at alpha =.05,Clinical Psychology/Psychiatry,"""Power is for a two-tailed t test of the control group vs. the depressive group at alpha = 0.05.""",NA,NA,35,NA,d,0.25,0.5,NA,0.11,0.09,0.13,0.28,0.18,0.37,NA,NA,NA,0.11,0.29,NA,0.03,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,72,"Chase, Lawrence J. and Tucker, Raymond K.",A power-analytic examination of contemporary communication research,Speech Monographs,1975,"Chase, & Tucker (1975)",NA,"""In order to provide a contemporary assessment of the state of communication research, all studies in which significance tests were utilized in these journals [see ""sampled articles""] during 1973 were analyzed.""","""American Forensic Association Journal, Central States Speech Journal, Journal of Communication, The Quarterly Journal of Speech, Southern Speech Communication Journal, Speech Monographs, The Speech Teacher, Today's Speech, Western Speech""",1973,"t test, test of equal proportions, correlation, sign test, chi -square, F test",Clinical Psychology/Psychiatry,"""In order to provide a constant basis for comparison, both between disciplines and among the speech communication journals, certain criteria were standardized. The non-directional version of the null hypothesis was used uniformly in all power calculations. Thus, a two-sided test was used for normal, binominal, and t distributions, while the one-sided (high) value test for chi-square and F distributions was used. Although this procedure may provide slightly lower power figures in some cases, ""the more serious problem of inflated significance levels and the embarrassment of large effects in the nonpredicted direction"" was avoided.17 The five percent level of significance was also employed for each test, a practice which resulted in both underestimating and overestimating power in a number of cases. On three occasions, Scheffe's t was computed to effect post hoc comparisons. This is an appropriate test available to the experimenter interested in comparing all treatment and control conditions, regardless of whether the tests are planned or unplanned. The major difficulty with this procedure is its conservative nature with regard to Type I errors: the critical k is often too high to detect actual differences. Scheffe has suggested that the .05 alpha level be increased to .10 in such cases.18 Since the five percent level was used throughout this analysis, the cases involving the Scheffe test were attributed a slightly lower power figure. The underestimates were offset, however, bcause several investigators employed the one percent alpha level, resulting in higher power estimates than if the five percent level had been utilized""",Mean power of statistical tests in each article,yes,46,1298,cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),0.18,0.1,0.23,0.46,0.36,0.63,0.81,0.7,0.92,0.18,0.52,0.79,0.14,0.21,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.944,0.31,0.999
13,117,"Kroll, R. M. and Chase, L. J.",Communication disorders: A power analytic assessment of recent research,Journal of Communication Disorders,1975,Kroll & Chase (1975),NA,"""The present investigation assessed the statistical power of recently published research in the field of communicative disorders. The two journals selected for this analysis were the Journal of Communication Disorders and the Journal of Speech and Hearing Research. These journals provide a representative sample of contemporary research in speech pathology and audiology. Every 1973 issue of both journalsand those 1974 issues that had been published prior to the inauguration of this study, were included. All articles incorporating significance tests were examined. The average statistical power for the three effect sizes was computed for each study using the tables provided by Cohen ( 1969); appropriate measures of central tendency and dispersion were also calculated""",Journal of Communication Disorders and the Journal of Speech and Hearing Research,1973-1974,"t-tests, tests for normal proportions. tests for normal correlations, tests for significance of correlations, sign tests, chi-square tests, and F tests",Clinical Psychology/Psychiatry,"""In order to determine small, medium, and large effect size estimates, Cohen’s (1969) measures of experimental effect were utilized.""",Mean power of statistical tests in each article,yes,62,1037,cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),0.12,0.08,0.19,0.38,0.29,0.55,0.71,0.57,0.86,0.16,0.44,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Specifically, statistical power should be of major concern in both the planning and analysis phases of an empirical study. Increased awareness of the consequences of inadequate power will serve to improve the type and quality of experimental, clinical, and/or theoretical implications that may be derived from an empirical investigation. This, in turn, will aid in the establishment and maintenance of an effective, complementary relationship between the experimentalist and clinician.""",NA,NA,NA,NA,NA,NA,NA,NA
14,86,"Chase, Lawrence J. and Chase, Richard B.",A statistical power analysis of applied psychological research,Journal of Applied Psychology,1976,Chase & Chase (1976),NA,"""Empirical studies reported in the 1974 Journal of Applied Psychology (all six issues of Volume 59) were examined in this survey.2 The article served as the unit of analysis. The major significance tests were power-analyzed, while secondary tests such as manipulation checks and peripheral reliability estimates were omitted. This procedure""","""Journal of Applied Psychology (all six issues of Volume 59)""",1974,"""Of the 3,373 statistical tests examined in this sample, 1,736 were for correlations, 732 involved an F, 691 were simple t tests, and 218 used chisquare""",General Psychology,"""For each test of significance, three power determinations corresponding to the three levels of experimental effect (small, medium, and large) were made. When cell sizes were unequal, harmonic mean functions of the two «s were used (see Cohen, 1969). In order to remain consistent with previous power analyses, certain experimental criteria were standardized. The .05 level of significance was used uniformly as was the nondirectional version of the null hypothesis. Once these figures were obtained, the average statistical power for each article was calculated, resulting in mean estimates for small, medium, and large effect sizes.""",Mean power of statistical tests in each article,yes,121,3373,cohen 1988,cohen 1988,cohen 1988,cohen 1988,0.16,NA,NA,0.7,NA,NA,0.94,NA,NA,0.25,0.67,0.86,0.23,0.26,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,125,"Chase, Lawrence J and Baran, Stanley J",An Assessment of Quantitative Research in Mass Communication.,Journalism Quarterly,1976,Chase & Baran (1976),NA,"""In order to assess the level of statistical power in contemporary mass communication research, articles appearing in the 1974 volumes of JOURNALISM Q U A R T E R L Y and The Journal of Broadcasring were power-analytically examined. Overall power figures were obtained by I ) calculating the statistical power of the major significance tests within each article for each of the three postulated effect sizes (small, medium, and large); and 2) averagng the power figures according to level of experimental effect for the entire array of studies""","Journalism Quarterly, the Jounral of Broadcasting",1974,"t-test for means. F-test. significance of a .product-moment correlation coefficient, test for differences between correlations. test for differences between proportions, test that a proportion equals S O , the sign test and the chi-square test",Communication,"""The power determinations for each significance test were calculated using Cohen's handbook.""",Mean power of statistical tests in each article,yes,48,701,cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),0.225,NA,NA,0.88,NA,NA,0.99,NA,NA,0.34,0.76,0.91,0.25,0.23,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA
16,126,"Christensen, James E. and Christensen, c","Statistical Power Analysis of Health, Physical Education, and Recreation Research.","Research Quarterly. American Alliance for Health, Physical Education and Recreation",1977,Christensen & Christensen (1977),NA,"""Each study in the Research Quarterly, volume 46, 1975 that could be analysed""",Research Quarterly,1975,"unclear ~ context suggests t, F, Chi Square,r, other ""Cohen provided tables from which the power of most statistical test employed by social work researchers can be determined easily once the significance level, sample size, and ES have been specified.""",Management / IO Psychology,"""The power of each primary statistical test for small, medium, and large effect size was read directly from the appropriate table prepared by Cohen. The mean power of the major statistical tests was determined at the three levels of effect size for each research study.""",Mean power of statistical tests in each article,yes,43,NA,cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),cohen 1969 (equivilent to 1988),0.08333,0.06,0.12,0.31995,0.1733,0.5348,0.6933,0.3633,0.86737,0.17555,0.3877,0.62427,0.260384331,0.279821372,0.283019434,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""More attention should focus on sample sizes and the concept of statistical power in research in the field of health, physical education, and recreation""",NA,NA,NA,NA,NA,NA,NA,NA
17,50,"Schoonen, Rob",The internal validity of efficacy studies: Design and statistical power in studies of language therapy for aphasics,Brain and Language,1991,Schoonen (1991),NA,"""we reviewed 35 efficacy studies."" examining ""the efficacy of language therapy""",Efficacy studes of language therapies - only articles using non-directional tests,1964-1989,"Only directional - f tests (analysis of variance and covariance), x2 tests, t tests for dependent and independent samples, Kruskall-Wallis tests, Mann-Whitney U tests, Wilcoxon tests, tests for Pearson’s correlation, sign tests, and Fisher’s exact tests.",Clinical Psychology/Psychiatry,"""Cohen’s tri-partition and estimated the statistical power of the tests for three hypothetical situations, assuming small treatment effects, medium effects, and large effects. Furthermore, we took the conventional 5% level as significance level. In Table 2, separate results are listed for directional tests, i.e., tests used for both one- and two-tailed testing (e.g., t test), and for nondirectional tests, i.e., tests generally not used for testing against a specified direction of the difference between H,, and H, (e.g., F test). For directional tests, we assumed one-tailed testing, which is more powerful than twotailed"" Cohen's 1977 power handbook was used",Mean power of statistical tests in each article,unclear,13,273,cohen 1977 (equivilent to 1988),cohen 1977 (equivilent to 1988),cohen 1977 (equivilent to 1988),cohen 1977 (equivilent to 1988),0.15,0.12,0.186,0.52,0.39,0.55,0.796,0.69,0.913,0.182,0.502,0.76,0.109,0.196,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""We are well aware that these research conditions are difficult to establish, but they are a prerequisite for unambiguous research. If one cannot establish these conditions, one should seriously consider refraining from further efficacy studies and investing energy and money in more theoretically oriented, small-scale research in which experimental effects are supposedly much larger than the treatment effects in efficacy studies,""",NA,NA,0.93,0.198,0.365,0.459,0.76,0.95
18,50,"Schoonen, Rob",NA,NA,1991,Schoonen (1991) ,NA,"""we reviewed 35 efficacy studies."" examining ""the efficacy of language therapy""",Efficacy studes of language therapies - only articles using directional tests,1964-1989,"only non-directional - F tests (analysis of variance and covariance), x2 tests, t tests for dependent and independent samples, Kruskall-Wallis tests, Mann-Whitney U tests, Wilcoxon tests, tests for Pearson’s correlation, sign tests, and Fisher’s exact tests.",Clinical Psychology/Psychiatry,"""Cohen’s tri-partition and estimated the statistical power of the tests for three hypothetical situations, assuming small treatment effects, medium effects, and large effects. Furthermore, we took the conventional 5% level as significance level. In Table 2, separate results are listed for directional tests, i.e., tests used for both one- and two-tailed testing (e.g., t test), and for nondirectional tests, i.e., tests generally not used for testing against a specified direction of the difference between H,, and H, (e.g., F test). For directional tests, we assumed one-tailed testing, which is more powerful than twotailed"" Cohen's 1977 power handbook was used",Mean power of statistical tests in each article,unclear,9,132,cohen 1977 (equivilent to 1988),cohen 1977 (equivilent to 1988),cohen 1977 (equivilent to 1988),cohen 1977 (equivilent to 1988),0.0951,0.08175,0.17325,0.389,0.28075,0.646,0.718,0.634,0.8875,0.138,0.481,0.713,0.0936,0.298,0.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.15,0.32,0.369,0.99,0.99
19,131,"Woolley, Thomas W. and Dawson, George O.",A Follow-up Power Analysis of the Statistical Tests Used in the Journal of Research in Science Teaching.,Journal of Research in Science Teaching,1983,Woolley & Dawson (1983),NA,"""A total of 265 articlesin Volumes 14-17 (1977-1980) of the Journal of Research in Science Teaching (JRST)were reviewed for this survey. Seventy-three of these studies were omitted from consideration due to the fact that there were no statistical tests of significance included (or those tests reported were not applicable in this power survey), or the studies were uninterpretable, i.e., necessary information was missing. All statistical tests of significance,with the exception of secondary tests such as reliability estimates, etc., were power-analyzed""",Journal of Research in Science Teaching,1977-1980,"t, F, chi square, r",Education,"""1) only the most common statistical tests (r, F,x ,r) were power-analyzed; (2) alpha was held at a uniform value of 0.05 and a nondirectional alternative was assumed for all studies; (3) Cohen’s (1977) definitions of small, medium, and large effect sizes were adopted. Thus, three power determinations were made for each test of significance, and an average power for detecting small, medium, and large ESs was calculated for each study. Note that when unequal cell sizes were in evidence, the harmonic mean functions of the cell sizes were used (see Cohen, 1977).""",Mean power of statistical tests in each article,yes,73,3556,cohen 1977,cohen 1977,cohen 1977,cohen 1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.63,0.85,NA,NA,NA,NA,NA,NA,NA,NA,0.2129196,0.2736723,0.1919208,NA,"""(1) increase sample sizes, (2) report the power of a test for several values of ES, (3) set a realistic alpha, and (4) keep the number of cells in analysis of variance designs to a minimum."" ""supply at least the minimal amoufit of information demanded for clear and independent evaluation. This would include not only information needed (and used?) for planning the data collection (a,desired power, hypothesized effect size, and necessary n), but also an adequate accounting of at least the following: (1) actual n used (total, per cell, per factor); (3) value of the calculated test statistic and its associated value; (4)all cell means and standard deviations; and (5) a complete description of experimental design(s) incorporated in the study"" ""Finally, a bold, yet meritorious, move should be made to amend the JRST editorial policies to require all such information relating to a priori design considerations and post hoc interpretation to be incorporated as a standard component of any research report submitted for publication. It is the sincere belief of the authors that such standards would contribute toward a substantial upgrading of the interpretability of research in science education.""",NA,NA,NA,NA,NA,NA,NA,NA
20,89,"Sawyer, Alan G. and Ball, A.",Statistical power and effect size in marketing research,Journal of Marketing Research,1981,Sawyer (1981),NA,"""To achieve the former goal, we examined with respect to power all empirical articles in the four 1979 issues of the Journal of Marketing Researc""",Journal of Marketing Research,1979,"""major tests""",Management / IO Psychology,"""is. As in past surveys of power in other disciplines including social psychology (Cohen 1962), education (Brewer 1972), communication (Chase and Tucker 1975), applied psychology (Chase and Chase 1976), and various other fields (Chase and Baran 1976; Katzer and Sodt 1973; Kroll and Chase 1975), a Type I error rate of 5% was uniformly employed and, unless the article specified a one-tailed test, all calculations were based on twotailed tests.""",Mean power of statistical tests in each article,yes,23,475,cohen 1977 (equivilent to 1988),cohen 1977 (equivilent to 1988),cohen 1977 (equivilent to 1988),cohen 1977 (equivilent to 1988),NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.89,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,127,"Daly, John A. and Hexamer, Anne H",Statistical Power in Research in English Education.,Research in the Teaching of English,1983,Daly & Hexamer (1983),NA,"""Fifty-seven articles published between 1978 and 1980 in Research in the Teaching of English were examined in this inve""",NA,1978-1980,"""502 involved an F test, 334 used chi-square tests, 200 were t-tests, 108 were correlations, 79 tested the difference between proportions, six were regressions, and four assessed the difference between correlation coeffi""",Education,"""Cohen (1977)... tables""",Mean power of statistical tests in each article,yes,57,1233,cohen 1977,cohen 1977,cohen 1977,cohen 1977,0.146,NA,NA,0.616,NA,NA,0.933,NA,NA,0.218,0.632,0.864,0.187,0.244,0.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""In short, we urge investigators to include i accurate and complete descriptions of procedur magnitude estimates. Not only will such reports meta-analyses but they will also allow readers t rectly interp""",NA,NA,NA,NA,NA,NA,NA,NA
22,97,"Orme, John G. and Combs-Orme, Terri D.",Statistical power and Type II errors in social work research,Social Work Research & Abstracts,1986,Orme & Combs-Orme (1986),NA,"""Articles from Social Work Research and Abstracts were selected because the journal publishes a broad array of articles on social work research. The article served as the primary unit of analysis, as in previous surveys of statistical power,"" With the exception of book reviews, essay reviews, Research Briefs, and Opinions from the Field, which were excluded because they do not present data analyses of findings from primary research, all articles in the 1977 volume (when the journalfirst began publishing empirical articles) through the 1984 volume were surveyed, including Research Notes. A total of 164 such articles were found, of which 143 (87 percent) were full-length articles and 21 (13 percent) were Research Notes. Of the 164 articles, 98 (60 percent) utilized statistical tests of hypotheses. However, of the 98 articles, 9 (9 percent) were excluded because they reported insufficient information to compute power, and 10(10 percent) were excluded because, to the authors' knowledge, procedures for the computation of power for the statistical tests used are not available. Therefore, power was computed for a total of 79 articles, 75 (95 percent) of which were full-length articles and 4 (5 percent) were Research Notes""",Social work research and abstracts,1977-1984,"t, F tests (regression, anova, ancova), chi square tests, correlations",Clinical Psychology/Psychiatry,"""The power of most statistical tests utilized by social work researchers can be determined easily (from the tables in Cohen's text) once the significance level, size of the sample, and ES have been specified."" The authors used Cohen's tables to determine the a priori power of the statistical tests examined.""",Mean power of statistical tests in each article,yes,79,3114,Cohen 1977,Cohen 1977,Cohen 1977,Cohen 1977,0.2,NA,NA,0.86,NA,NA,0.99,NA,NA,0.31,0.76,0.92,0.28,0.25,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Social work researchers should not passively accept low statistical power but, rather, should plan for adequate statistical power before conducting an investigation. Perhaps, what is most important is that the size of the sample that is necessary to address research questions with adequate statistical power should be carefully considered in any preinvestigation analysis. Researchers should plan samples that are large enough to test hypothesized interactions because statistical tests of interactions are even more likely to have inadequate power than are tests of main effects and the incorrect detection of interactions may result in the inappropriate interpretation of main effects."" p7, following all on P8 ""Increasing alpha"" ""p8 ""ather than merely increasing the size of a sample in an attempt to obtain adequate power to detectsmalland, in someinstances, inconsequential ESs, one should try, in many cases, to increase the ES as well."" ""editors and reviewers to insist that investigators who use tests of statistical significance report the explicit preinvestigation rationale for the size of the sample, the hypothesized ES,the degree of desired power, and perhaps the alpha value they selected."" p8",NA,NA,NA,NA,NA,NA,NA,NA
23,129,"Orme, John G. and Tolman, Richard M.",The Statistical Power of a Decade of Social Work Education Research.,Social Service Review,1986,Orme & Tolman (1986),NA,"""Articles from the Journal of Social Work Education were selected becau this is the leading social work education journal. The article serve the primary unit of analysis as in previous surveys of statistical power. Articles were selected from the 1976-spring 1985 volumes""",Social Work Education,1976-1985,"unclear ~ context suggests t, F, Chi Square,r, other ""Cohen provided tables from which the power of most statistical test employed by social work researchers can be determined easily once the significance level, sample size, and ES have been specified.""",Education,"""Cohen provided tables from which the power of most statistical test employed by social work researchers can be determined easily once the significance level, sample size, and ES have been specified.21 These tables were employed in the present study to determine the power of the statistical tests examined. For each article, the tests that directly addressed the major hypotheses or questions were identified. Secondary tests such as those concerned with manipulation checks, peripheral correlation coefficients, r estimates, or tests of statistical assumptions or clearly exploratory were omitted from the analyses.""",Mean power of statistical tests in each article,yes,64,NA,cohen 1977,cohen 1977,cohen 1977,cohen 1977,0.18,NA,NA,0.78,NA,NA,0.99,NA,NA,0.2,0.68,0.88,0.14,0.26,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""A publication practice that might improve the quality of social work education research would be the routine inclusion by authors of their explicit preinvestigation rationale for the selection of the sample size employed, the hypothesized ES, the degree of desired power, and perhaps the alpha value selected.48 This practice might encourage careful consideration of these parameters, enhance the utility of statistical tests of hypotheses, and increase the validity of conclusions drawn from social work education research using such""",NA,NA,NA,NA,NA,NA,NA,NA
24,42,"Woolley, Thomas W.",A comprehensive power-analytic investigation of research in medical education,Journal of Medical Education,1983,Woolley (1983),NA,"""Major articles in volumes 55 through 57 (1980 - 1982) of the Journal of Medical Education were reviewed for this survey. Of these studies, 130 were omitted from consideration because there were no statsitical tests of significance included, tests reported were not appliacable in in this power survey, or the studies were uninterpretable, that is, necessesary information was missing""",Journal of Medical Education,1980-1982,"t, F, chi square and correlation coefficients",Education,"""Cohen's tables""",Mean power of statistical tests in each article,yes,100,2220,cohen 1977 (equivilent to 1988),cohen 1977 (equivilent to 1988),cohen 1977 (equivilent to 1988),cohen 1977 (equivilent to 1988),0.14,NA,NA,0.71,NA,NA,0.99,NA,NA,0.23,0.69,0.9,NA,NA,NA,112.5,NA,NA,199.7,NA,0.1958955,0.2584452,0.1611334,NA,"""consider statistical power … during the research design phase"" report all values necessary to evaluate power post hoc (n, alpha, test statistic values, all cell means and SDs, a complete description of the experimental designs)",NA,NA,NA,NA,NA,NA,NA,NA
25,106,"Rossi, Joseph S.",Statistical power of psychological research: What have we gained in 20 years?,Journal of Consulting and Clinical Psychology,1990,Rossi (1990),NA,"""All of the articles published in the Journal of Abnormal Psychology, 1982, Volume 91; the Journal of Consulting and Clinical Psychology, 1982, Volume 50; and the Journal of Personality and Social Psychology, 1982, Volume 42, were examined, and articles not reporting any statistical tests were eliminated from the study. In addition, some articles were excluded because they contained statistical methods for which power could not be determined""... ""As in previoussurveys, a distinction was made between major and peripheral statistical tests. Major tests were those that bore directly on the research hypotheses of the study, whereas peripheral tests did not. Peripheral tests, which were excluded from the survey, included all of the correlation coefficients of a factor analysis, unhypothesized higher order analysis of variance interactions, manipulation checks,interrater reliability coefficients, reliabilities of psychometric tests (internal consistency, test-retest), post hoc analysis of variance procedures (means comparisons tests, simple effects), and tests of statistical assumptions. For major statistical tests, power was determined for the following: / test, Pearson r, z test for the difference between two independent correlation coefficients, sign test, z test for the difference between two independent proportions, chi-square test, F test in the analysis of variance and covariance, and multiple regression F test.""","Journal of Abnormal psychology, Journal of Consulting and Clinical Psychology, and Journal of Personality and Social Psychology",1982,"F test (ANOVA and ANCOVA), pearson r, t test, chi square, F test, z test, sign test",General Psychology,"""Cohen's (1977) tables wereused to determine power for sign tests and chi-square tests. Tables and formulas in Rossi (1985b) were used to determine power for z tests for the difference between independent correlation coefficients and for z tests for the difference between independent proportions. The tabled valuesin thesesources are accurate to about one digit in the second decimal place whencompared with exact values. Computer programs were written by the author to expedite the determination of power for the remaining tests (t, r, and F). This was done because of the frequency of occurrence of these statistics and to avoid the interpolation errors inevitably encountered with the useof tables or charts. All programs were written in double precision IBM BASIC (version 3.10) to run on an IBM PC/AT microcomputer. The computer program to determine the power of the t test was based on the normal approximation to the noncentral I distribution given by Cohen (1977). Because this formula assumes that sample sizes are equal, it was modified slightly to permit unequal n power calculations. The determination of power for the Pearson correlation coefficient was based on the normal score approximation for r provided by the hyperbolic arctangent transformation, plus a correction factor for small sample sizes (Cohen, 1977). The cube root normal approximation of the noncentral F distribution was used for the analysis of variance power program (Laubscher. 1960). The accuracy of this formula has been found to be quite good, with errors appearing only in the 3rd or 4th decimal places for a = .05 (Cohen & Nee, 1987). Although more accurate approximations exist, the small gain in precision did not justify the additional computational complexity. For all computer programs, normal score approximations were converted to probability (power) values using formula 26.2.19 in Abramowitzand Stegun (1965, p. 932), who give the accuracy of the algorithm as±1.5 X 10~7. The resulting power values agreed to two decimal places with those obtained from Cohen's (1977) power tables and recently available computer program (Borenstein& Cohen, 1988).""",Mean power of statistical tests in each article,yes,221,6155,cohen 1988,cohen 1988,cohen 1988,cohen 1988,0.12,0.09,0.18,0.53,0.36,0.77,0.89,0.71,0.98,0.17,0.57,0.83,0.14,0.25,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,102,"Acklin, Marvin W. and McDowell, Claude J., II",Statistical power in Rorschach research,"Exner, John E Jr [Ed] (1995) Issues and methods in Rorschach research (pp 181-193) xiii, 324 pp Hillsdale, NJ, US: Lawrence Erlbaum Associates, Inc; US",1995,Acklin & McDowell (1995),NA,"""All of the articles published in the referenced journals between 1975 and 1991 were examined (N = 293), and articles not reporting statistics were eliminated from the study.""… ""a distinctionwas made between major and peripheral statistical tests. Major tests dealt directly with Rorschach variables, whereas peripheral tests did not. Peripheral tests that were excluded from the survey included, for example, all of the correlation coefficients of a factor analysis, cluster analysis, and multidimensional scaling; interrater, internal consistency, and temporal consistency reliability coefficients; tests of statistical assumptions; and statistical tests not bearing directing on Rorschach variables""","""Journal of Personality Assessment, Journal of Consulting and Clinical Psychology, Journal of Abnormal Psychology, Journal of Clinical Psychology, Journal of Personality, Psychological Bulletin, American Journal of Psychiatry, and Journal of Personality and Social Psychology""",1975-1991,"""t tests, Pearson's r, partial correlarions, chi square tests, and F test in the analysis of variance (ANOVA) and covariance(ANCOVA).Power coefficientswere computed for main effects only in factorial ANOVAs. In contrast to other power surveys, but following Cohen (1962), power analyses were calculated for nonparametric techniques, because these are overrepresented in the Rorschach research literature. In these cases, power was determined for the analogous parametric test, for example, the t test for means was substituted for the Mann-Whitney U test and for the Wilcoxon matched-pairs signed-rankstest, F test for the Kruskal-Wallis H test and for the Friedman test, and Pearson's r for Spearman's rho. """,Clinical Psychology/Psychiatry,"""Power coefficients were calculated using a computer program (Borenstein& Cohen, 1988).When the computer program was not helpful, we referred to power tables from Cohen (1988) and Lipsey (1990)""",Mean power of statistical tests in each article,yes,158,2300,cohen 1988,cohen 1988,cohen 1988,cohen 1988,0.105,0.08,0.15,0.57,0.348,0.745,0.945,0.738,0.99,0.131,0.561,0.85,0.104,0.238,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,119,"Mazen, A. M. M., Hemmasi, M. and Lewis, M. F",Assessment of statistical power in contemporary strategy research,Strategic Management Journal,1987,"Mazen, Hemmasi & Lewis (1987)",NA,"""For each test of significance, Cohen’s three conventional levels of effect size (small, medium, and large) were adopted. When cell sizes were unequal, harmonized mean functions were used. Also, when factorial and complex designs of analysis of variance were employed, or when interaction was considered, n for the respectiveResearch Notes and Communications 405 factor or interaction was determined according to Cohen's (1977) formulae. An a = 0.05 and the nondirectional version of the null hypothesis were used uniformly. Once power estimates for all tests in a study were computed, the average statistical power for each article was calculated for small, medium, and large effect size. By this conventional procedure, no matter how many tests were involved in a particular study, all articles counted equally in the description of the volumes examined. The mean power value of the studies at each of the three effect size levels were then distributed and their central tendency measures determined. The procedure described above is consistent with previous surveys of statistical power analysis""","Strategic Management Journal, Acadamy of Management Journal",1982-1984,"Regression (R^2 and Beta coefficients) [i.e., F and t tests], F tests, t tests, correlations, chi square tests, 211 tests of proportions",Management / IO Psychology,"""For each test of significance, Cohen’s three conventional levels of effect size (small, medium, and large) were adopted. When cell sizes were unequal, harmonized mean functions were used. Also, when factorial and complex designs of analysis of variance were employed, or when interaction was considered, n for the respectiveResearch Notes and Communications 405 factor or interaction was determined according to Cohen's (1977) formulae. An a = 0.05 and the nondirectional version of the null hypothesis were used uniformly. Once power estimates for all tests in a study were computed, the average statistical power for each article was calculated for small, medium, and large effect size. By this conventional procedure, no matter how many tests were involved in a particular study, all articles counted equally in the description of the volumes examined. The mean power value of the studies at each of the three effect size levels were then distributed and their central tendency measures determined. The procedure described above is consistent with previous surveys of statistical power analysis""",Mean power of statistical tests in each article,yes,44,3665,Cohen 1977,Cohen 1977,Cohen 1977,Cohen 1977,0.13,NA,NA,0.53,NA,NA,0.88,NA,NA,0.23,0.59,0.83,NA,NA,NA,NA,NA,NA,NA,NA,0.2328015,0.2717008,0.1996149,NA,"use ""repeated measures"", perform ""power planning"",",NA,NA,NA,NA,NA,NA,NA,NA
